ALU_opration a     b    | result zero
0001         1010  0000 | 1010   0
0001         1010  0001 | 1011   0
0001         1010  0010 | 1010   0
0001         1010  0011 | 1011   0
0001         1010  0100 | 1110   0
0001         1010  0101 | 1111   0
0001         1010  0110 | 1110   0
0001         1010  0111 | 1111   0
0001         1010  1000 | 1010   0
0001         1010  1001 | 1011   0
0001         1010  1010 | 1010   0
0001         1010  1011 | 1011   0
0001         1010  1100 | 1110   0
0001         1010  1101 | 1111   0
0001         1010  1110 | 1110   0
0001         1010  1111 | 1111   0
