ALU_opration a     b    | result zero
0000         1010  0000 | 0000   1
0000         1010  0001 | 0000   1
0000         1010  0010 | 0010   0
0000         1010  0011 | 0010   0
0000         1010  0100 | 0000   1
0000         1010  0101 | 0000   1
0000         1010  0110 | 0010   0
0000         1010  0111 | 0010   0
0000         1010  1000 | 1000   0
0000         1010  1001 | 1000   0
0000         1010  1010 | 1010   0
0000         1010  1011 | 1010   0
0000         1010  1100 | 1000   0
0000         1010  1101 | 1000   0
0000         1010  1110 | 1010   0
0000         1010  1111 | 1010   0
